 "'AS-IS'" 1 
 "----" 1 
 "--Larry" 1 
 "--at" 1 
 "--er--that" 1 
 "--rose" 1 
 "--she" 1 
 "--the" 1 
 "architecture" 1 (L 4483, off 22) 
 "arise" 1 (L 9228, off 5) 
 "arrange" 1 (L 7244, off 14) 
 "arrangement" 1 (L 5721, off 22) 
 "array" 1 (L 9286, off 0) 
 "arrive" 1 (L 8733, off 39) 
 "ascending" 1 (L 4139, off 21) 
 "ashes" 1 (L 2280, off 11) 
 "asphalt" 1 (L 3953, off 12) 
 "assembly" 1 (L 2325, off 0) 
 "assented" 1 (L 423, off 25) 
 "assist" 1 (L 8304, off 15) 
 "assistance" 1 (L 9243, off 0) 
 "associate" 1 (L 3659, off 26) 
 "assuming" 1 (L 583, off 32) 
 "assurances" 1 (L 8040, off 12) 
 "assure" 1 (L 5142, off 23) 
 "assured" 1 (L 2971, off 41) 
 "astonish" 1 (L 4578, off 10) 
 "astonished" 1 (L 3420, off 32) 
 "astonishing" 1 (L 956, off 0) 
 "athlete" 1 (L 8476, off 12) 
 "athletic" 1 (L 8892, off 37) 
 "attempts" 1 (L 2039, off 63) 
 "attendance" 1 (L 2498, off 3) 
 "attendant" 1 (L 1328, off 39) 
 "attentions" 1 (L 5123, off 43) 
 "attired" 1 (L 7019, off 54) 
 "attracted" 1 (L 4979, off 18) 
